code,name,board_type,subtype,source,cid,updated_at
BK1344,产业地产,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1343,物业管理,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1342,房地产综合服务,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1341,房产租赁经纪,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1340,印制电路板,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1339,被动元件,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1338,消费电子零部件及组装,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1337,品牌消费电子,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1336,其他电子Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1335,面板,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1334,光学元件,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1333,LED,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1332,电子化学品Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1331,数字芯片设计,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1330,模拟芯片设计,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1329,集成电路制造,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1328,集成电路封测,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1327,分立器件,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1326,半导体设备,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1325,半导体材料,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1323,综合电力设备商,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1322,其他电源设备Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1321,火电设备,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1320,逆变器,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1319,硅料硅片,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1318,光伏主材,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1317,光伏加工设备,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1316,光伏辅材,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1315,光伏电池组件,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1314,风电整机,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1313,风电零部件,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1312,线缆部件及其他,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1311,输变电设备,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1310,配电设备,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1309,电网自动化设备,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1308,电工仪器仪表,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1307,电机Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1306,蓄电池及其他电池,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1305,燃料电池,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1304,锂电专用设备,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1303,锂电池,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1302,电池化学品,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1301,游戏Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1300,院线,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1299,影视动漫制作,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1298,文字媒体,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1297,图片媒体,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1296,视频媒体,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1295,其他数字媒体,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1294,门户网站,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1293,营销代理,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1292,广告媒体,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1291,电视广播Ⅲ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1290,教育出版,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1289,大众出版,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1288,金属新材料,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1287,工业金属,industry,industry,eastmoney,,2026-07-20 21:15:26
